id,u,v,width,height,time
,,,,,
2393,0.6289781,0.1396221,0.0365595,0.04515776,87409.63333333333
2393,0.6290423,0.1396472,0.03644668,0.0450184,87409.65
2393,0.6290861,0.1394493,0.03556893,0.04393422,87409.66666666667
2393,0.6289093,0.1394402,0.03451813,0.04263628,87409.68333333333
2393,0.6203376,0.1288724,0.05078191,0.06272507,87409.7
2393,0.6198208,0.12821,0.04909384,0.06063998,87409.71666666666
2393,0.6179167,0.1257361,0.04413551,0.05451553,87409.73333333334
2393,0.6151613,0.1222078,0.03703651,0.04574694,87409.75
2393,0.6049434,0.1099181,0.0496112,0.06127901,87409.76666666666
2393,0.6038176,0.1086659,0.04732686,0.05845743,87409.78333333334
2393,0.6014066,0.1056789,0.04092935,0.05055533,87409.8
2393,0.5987033,0.1022033,0.03523843,0.04352599,87409.81666666667
2393,0.5949714,0.0979116,0.03720526,0.04595539,87409.83333333333
2393,0.59414,0.09716269,0.03539682,0.04372163,87409.85
2393,0.5931542,0.09609547,0.03159922,0.03903089,87409.86666666667
2393,0.5921466,0.09511869,0.02590093,0.03199245,87409.88333333333
2393,0.5965264,0.09238872,0.03766587,0.04652433,87409.9
2393,0.5969082,0.09235293,0.03775168,0.04663031,87409.91666666667
2393,0.597261,0.09189359,0.03624428,0.0447684,87409.93333333333
2393,0.5979893,0.09143098,0.03257891,0.04024099,87409.95
2393,0.6139259,0.09316552,0.05195149,0.0641697,87409.96666666666
2393,0.6158974,0.09348748,0.04969986,0.06138854,87409.98333333334
2393,0.6177273,0.09380211,0.04729942,0.05842355,87410.0
2393,0.6186936,0.09383904,0.04496948,0.05554564,87410.01666666666
2393,0.6396873,0.09921426,0.06740817,0.08326157,87410.03333333334
2393,0.6407091,0.09951885,0.06611956,0.0816699,87410.05
2393,0.6439232,0.1003268,0.06201006,0.07659391,87410.06666666667
2393,0.6485311,0.1016214,0.05661438,0.06992925,87410.08333333333
2393,0.6719481,0.1071072,0.07536634,0.09309138,87410.1
2393,0.6733825,0.1074426,0.07403544,0.09144749,87410.11666666667
2393,0.6777518,0.1085014,0.06799784,0.08398993,87410.13333333333
2393,0.6869547,0.110638,0.05834848,0.07207117,87410.15
2393,0.7093425,0.1149075,0.07415686,0.09159746,87410.16666666667
2393,0.7109186,0.1152063,0.07262237,0.08970208,87410.18333333333
2393,0.7154337,0.1160451,0.06670987,0.08239904,87410.2
2393,0.7257579,0.1180956,0.05562473,0.06870684,87410.21666666666
2393,0.7441683,0.1216586,0.06745482,0.0833192,87410.23333333334
2393,0.7456894,0.1219088,0.06526907,0.08061939,87410.25
2393,0.7500567,0.1227428,0.05942927,0.07340615,87410.26666666666
2393,0.7600187,0.1248929,0.04773752,0.05896468,87410.28333333334
2393,0.7665276,0.1263368,0.04719266,0.05829167,87410.3
2393,0.7675502,0.1265487,0.04425567,0.05466395,87410.31666666667
2393,0.76926,0.1268763,0.03191605,0.03942224,87410.33333333333
,,,,,
2394,0.7711604,0.1659614,0.03915876,0.04836832,87410.7
2394,0.7712225,0.1664382,0.03857713,0.04764989,87410.71666666666
2394,0.7712462,0.1669148,0.03717206,0.04591437,87410.73333333334
2394,0.7709839,0.16723,0.03526835,0.04356294,87410.75
2394,0.7739422,0.1690038,0.04131613,0.05103307,87410.76666666666
2394,0.7741915,0.1693839,0.04046902,0.04998674,87410.78333333334
2394,0.7751346,0.1703137,0.03667383,0.04529898,87410.8
2394,0.7765966,0.1715049,0.02898855,0.03580623,87410.81666666667
2394,0.7799422,0.1722358,0.02316654,0.02861496,87410.83333333333
,,,,,
2395,0.7231558,0.1584804,0.03932449,0.04857302,87411.16666666667
